,user_id,score,indicator
176,2000176,0.765569706,Target
177,2000177,0.74574315,Target
178,2000178,1.880543107,Target
179,2000179,0.63668316,Target
180,2000180,2.081119586,Target
181,2000181,-1.532020754,Untarget
182,2000182,-0.824945833,Untarget
183,2000183,4.193731317,Target
184,2000184,-0.172826887,Untarget
185,2000185,-0.076412665,Untarget
186,2000186,-0.468143264,Untarget
187,2000187,-0.4283268,Untarget
188,2000188,-0.800984591,Untarget
189,2000189,0.538003289,Target
190,2000190,-2.596165684,Untarget
191,2000191,0.851723044,Target
192,2000192,-0.194527084,Untarget
193,2000193,0.601309207,Target
194,2000194,-2.285589801,Untarget
195,2000195,-0.18211486,Untarget
196,2000196,0.384915494,Target
197,2000197,-0.717581376,Untarget
198,2000198,-1.582926061,Untarget
199,2000199,4.521769639,Target
200,2000200,-0.149885057,Untarget
201,2000201,0.6710131,Target
202,2000202,0.400131857,Target
203,2000203,-0.007006145,Untarget
204,2000204,-1.574937648,Untarget
205,2000205,-0.741477858,Untarget
206,2000206,-0.15137149,Untarget
207,2000207,0.11378287,Target
208,2000208,1.546917295,Target
209,2000209,0.061777272,Target
210,2000210,0.083819428,Target
211,2000211,0.077849387,Target
212,2000212,-0.918292864,Untarget
213,2000213,-0.375147103,Untarget
214,2000214,1.228324187,Target
215,2000215,2.274211291,Target
216,2000216,-0.687670673,Untarget
217,2000217,-1.505720746,Untarget
218,2000218,0.926545029,Target
219,2000219,0.52416179,Target
220,2000220,-0.070409528,Untarget
221,2000221,-0.126558771,Untarget
222,2000222,-0.073919638,Untarget
223,2000223,0.125200234,Target
224,2000224,0.851723044,Target
225,2000225,2.861166696,Target
226,2000226,-0.052155011,Untarget
227,2000227,1.319157582,Target
228,2000228,0.00632738,Target
229,2000229,-0.354388104,Untarget
230,2000230,0.589507038,Target
231,2000231,-0.780151187,Untarget
232,2000232,0.079113859,Target
233,2000233,-0.109418348,Untarget
234,2000234,0.903117311,Target
235,2000235,-1.352088452,Untarget
236,2000236,-0.496830965,Untarget
237,2000237,-0.749615742,Untarget
238,2000238,0.111504172,Target
239,2000239,-0.132074317,Untarget
240,2000240,0.902723803,Target
241,2000241,1.42085272,Target
242,2000242,0.556240703,Target
243,2000243,0.024966251,Target
244,2000244,-0.463845733,Untarget
245,2000245,-1.422324583,Untarget
246,2000246,-0.863173754,Untarget
247,2000247,0.100000425,Target
248,2000248,-0.371754191,Untarget
249,2000249,-0.04795244,Untarget
250,2000250,0.315800121,Target
251,2000251,1.04254203,Target
252,2000252,-0.268524904,Untarget
253,2000253,0.277868756,Target
254,2000254,0.11311567,Target
255,2000255,-2.098056714,Untarget
256,2000256,-0.956918954,Untarget
257,2000257,-0.675764566,Untarget
258,2000258,0.707594833,Target
259,2000259,-1.064372791,Untarget
260,2000260,-0.752564904,Untarget
261,2000261,-2.195620406,Untarget
262,2000262,0.372300488,Target
263,2000263,3.506555475,Target
264,2000264,-1.296115472,Untarget
265,2000265,0.629970734,Target
266,2000266,-0.28248981,Untarget
267,2000267,-1.970319512,Untarget
268,2000268,0.087872093,Target
269,2000269,2.454963407,Target
270,2000270,-0.540844878,Untarget
271,2000271,2.943680137,Target
272,2000272,-1.015588513,Untarget
273,2000273,-1.556624641,Untarget
274,2000274,-0.164498828,Untarget
275,2000275,-0.406628857,Untarget
276,2000276,0.683096462,Target
277,2000277,-0.343921125,Untarget
278,2000278,-0.158278718,Untarget
279,2000279,0.049111208,Target
280,2000280,0.517000168,Target
281,2000281,-2.257819443,Untarget
282,2000282,2.226651534,Target
283,2000283,0.221455721,Target
284,2000284,-2.642329301,Untarget
285,2000285,1.137551869,Target
286,2000286,-0.357938036,Untarget
287,2000287,1.080457589,Target
288,2000288,3.374134214,Target
289,2000289,-3.237238742,Untarget
290,2000290,1.384965096,Target
291,2000291,-0.520564321,Untarget
292,2000292,-0.000387876,Untarget
293,2000293,-0.289948258,Untarget
294,2000294,0.188744015,Target
295,2000295,0.465582743,Target
296,2000296,2.449684925,Target
297,2000297,1.535104501,Target
298,2000298,1.882004889,Target
299,2000299,-0.069925672,Untarget
300,2000300,-2.682513999,Untarget
301,2000301,0.55059726,Target
302,2000302,-0.196364824,Untarget
303,2000303,1.828155956,Target
304,2000304,0.061528606,Target
305,2000305,0.131510557,Target
306,2000306,0.370218897,Target
307,2000307,-1.461236693,Untarget
308,2000308,0.032418962,Target
309,2000309,1.338444697,Target
310,2000310,0.781940899,Target
311,2000311,0.184271402,Target
312,2000312,-0.070220994,Untarget
313,2000313,0.997803515,Target
314,2000314,0.960054454,Target
315,2000315,-2.034180655,Untarget
316,2000316,0.350148128,Target
317,2000317,2.428873682,Target
318,2000318,1.979187461,Target
319,2000319,0.816218276,Target
320,2000320,-0.003443458,Untarget
321,2000321,-0.310767329,Untarget
322,2000322,0.091653566,Target
323,2000323,-0.294335252,Untarget
324,2000324,0.259723954,Target
325,2000325,-0.241189446,Untarget
326,2000326,0.923315532,Target
327,2000327,-1.204287666,Untarget
328,2000328,3.978973896,Target
329,2000329,0.898028084,Target
330,2000330,0.040572256,Target
331,2000331,0.118271703,Target
332,2000332,2.223240913,Target
333,2000333,-0.977299733,Untarget
334,2000334,0.628307818,Target
335,2000335,0.079321768,Target
336,2000336,-0.310589693,Untarget
337,2000337,-0.242077707,Untarget
338,2000338,0.542577722,Target
339,2000339,0.513971822,Target
340,2000340,0.19969854,Target
341,2000341,-0.378123635,Untarget
342,2000342,0.223313104,Target
343,2000343,2.351255267,Target
344,2000344,0.357642461,Target
345,2000345,0.773375344,Target
346,2000346,0.789012576,Target
347,2000347,-0.085067972,Untarget
348,2000348,-0.14501531,Untarget
